,confidence,mood,word
0,-3.0,-100,
1,0.5181000232696533,-80,<...> ignoring <...>
2,0.5224000215530396,-60,<...> cream <...>
3,0.4733999967575073,-40,<...> a <...>
4,0.46619999408721924,-20,<...> tired <...>
5,0.47049999237060547,0,<...> is <...>
6,-3.0,0,
7,-3.0,0,
8,-3.0,0,
9,0.5098999738693237,20,<...> cheer <...>
10,-3.0,20,
11,0.4805999994277954,40,<...> with <...>
12,0.4699999988079071,60,<...> a <...>
13,0.4821000099182129,80,<...> ten <...>
14,-3.0,80,
15,-3.0,80,
16,-3.0,80,
17,-3.0,80,
18,0.5339999794960022,100,<...> answer <...>
